154,B’s Cracklin’ Barbecue,https://www.yelp.com/biz/bs-cracklin-barbecue-atlanta?osq=Restaurants
155,The Brasserie and Neighborhood Café at PARISH,https://www.yelp.com/biz/the-brasserie-and-neighborhood-caf%C3%A9-at-parish-atlanta?osq=Restaurants
156,Blossom Tree,https://www.yelp.com/biz/blossom-tree-atlanta?osq=Restaurants
157,Lazy Llama Cantina,https://www.yelp.com/biz/lazy-llama-cantina-atlanta?osq=Restaurants
158,Com Vietnamese Grill Restaurant,https://www.yelp.com/biz/com-vietnamese-grill-restaurant-atlanta-2?osq=Restaurants
159,Taqueria Del Sol,https://www.yelp.com/biz/taqueria-del-sol-atlanta-2?osq=Restaurants
160,Max’s Coal Oven Pizzeria,https://www.yelp.com/biz/maxs-coal-oven-pizzeria-atlanta?osq=Restaurants
161,Food Terminal,https://www.yelp.com/biz/food-terminal-atlanta?osq=Restaurants
162,gusto!,https://www.yelp.com/biz/gusto-atlanta?osq=Restaurants
163,endive Publik house,https://www.yelp.com/biz/endive-publik-house-atlanta-3?osq=Restaurants
164,Burgerfan,https://www.yelp.com/biz/burgerfan-atlanta?osq=Restaurants
165,Colonnade Restaurant,https://www.yelp.com/biz/colonnade-restaurant-atlanta?osq=Restaurants
166,Pijiu Belly,https://www.yelp.com/biz/pijiu-belly-atlanta?osq=Restaurants
167,STK Atlanta,https://www.yelp.com/biz/stk-atlanta-atlanta?osq=Restaurants
168,Vortex Bar & Grill,https://www.yelp.com/biz/vortex-bar-and-grill-atlanta?osq=Restaurants
169,Buttermilk Kitchen,https://www.yelp.com/biz/buttermilk-kitchen-atlanta?osq=Restaurants
170,Slim & Husky’s Pizza Beeria,https://www.yelp.com/biz/slim-and-huskys-pizza-beeria-atlanta?osq=Restaurants
171,Tiny Lou’s,https://www.yelp.com/biz/tiny-lous-atlanta?osq=Restaurants
172,Campagnolo,https://www.yelp.com/biz/campagnolo-atlanta?osq=Restaurants
173,Momonoki,https://www.yelp.com/biz/momonoki-atlanta-17?osq=Restaurants
174,Busy Bee Cafe,https://www.yelp.com/biz/busy-bee-cafe-atlanta?osq=Restaurants
175,Ah-Ma’s Taiwanese Kitchen,https://www.yelp.com/biz/ah-mas-taiwanese-kitchen-atlanta-3?osq=Restaurants
176,My Potato Factory,https://www.yelp.com/biz/my-potato-factory-atlanta-3?osq=Restaurants
177,EATaliano Kitchen,https://www.yelp.com/biz/eataliano-kitchen-atlanta?osq=Restaurants
178,Brew and Bird,https://www.yelp.com/biz/brew-and-bird-decatur-2?osq=Restaurants
179,Wats Crackin Garlic Crabs,https://www.yelp.com/biz/wats-crackin-garlic-crabs-atlanta?osq=Restaurants
180,Tannour Mediterranean Grill,https://www.yelp.com/biz/tannour-grill-atlanta-3?osq=Restaurants
181,Pittypat’s Porch Restaurant,https://www.yelp.com/biz/pittypats-porch-restaurant-atlanta?osq=Restaurants
